Edu Year,Total,Higher Diploma,Bachelor,Master,Professional Doctorate and PhD
1386-87,1456126,316690,1045731,60718,32987
1387-88,1688223,279155,1296253,79079,33736
1388-89,1874722,391429,1333387,109467,40439
1389-90,2037875,395983,1460382,136386,45124
1390-91,2202685,383434,1578717,191160,49374
1391-92,2136022,298469,1561287,216857,59409
1392-93,2253764,341706,1555563,286552,69943
1393-94,2200375,344785,1441590,333004,80996
1394-95,2002559,252229,1300072,357538,92720
1395-96,1871596,232757,1179750,353553,105536
1397-98,1685160,213998,1057281,304418,109463
